Name,Link,Image_Link,Closure,Pocket Type,Fabric,Suitable_For,Sleeve,Color,Measurements,Price,Brand,id
Men Slim Fit Black Polyester Trousers,https://www.flipkart.com/raymond-slim-fit-men-black-trousers/p/itm2e7e7334b1ee5?pid=TROGQ8MEAYHJY5HZ&lid=LSTTROGQ8MEAYHJY5HZD87ZSC&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_36&otracker=browse&fm=organic&iid=a366bf24-c376-45b0-88d7-d320f0328de2.TROGQ8MEAYHJY5HZ.SEARCH&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/t/j/2/32-rmts05160-k8-raymond-original-imagrnzeawpxhe8y.jpeg?q=70,,,Polyester,Western Wear,,Black,"[['30', '32', '34', '36', '38']]",959,Raymond,1
Men Slim Fit Grey Pure Cotton Trousers,https://www.flipkart.com/urbano-fashion-slim-fit-men-grey-trousers/p/itm077be714224a5?pid=TROGMZVYPH7ZGS7V&lid=LSTTROGMZVYPH7ZGS7V46NBUL&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_31&otracker=browse&fm=organic&iid=en__eM9nYk2U7eVz18g7sxGkNcAGxDrj2amYgGi4BATl1SZkWcoVOq8Dg56zqSdkGNWY5XdyJu3HINwU6E8672vWA%3D%3D&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/u/o/x/28-epnchino-19-grey-urbano-fashion-original-imagmzvy4bzzxfxt.jpeg?q=70,Button,,Pure Cotton,Western Wear,,Grey,"[['28', '30', '32', '34', '36', '38', '40']]",659,Urbano Fashion,2
Men Slim Mid Rise Dark Grey Jeans,https://www.flipkart.com/killer-slim-men-dark-grey-jeans/p/itm759f9fa31312b?pid=JEAGQKGPKKBE9D9P&lid=LSTJEAGQKGPKKBE9D9PEDMIH0&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_24&otracker=browse&fm=organic&iid=a366bf24-c376-45b0-88d7-d320f0328de2.JEAGQKGPKKBE9D9P.SEARCH&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/xif0q/jean/h/2/q/-original-imagr6uggg8ukybf.jpeg?q=70,Button,,Cotton Lycra Blend,Western Wear,,Dark Grey,"[['30', '32', '34', '36', '38', '40']]",1439,KILLER,3
Men Skinny Low Rise Dark Blue Jeans,https://www.flipkart.com/spykar-skinny-men-dark-blue-jeans/p/itm6a3e4b092db0d?pid=JEAGCHY2GYGKJ94E&lid=LSTJEAGCHY2GYGKJ94EUAOIPJ&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_34&otracker=browse&fm=organic&iid=a366bf24-c376-45b0-88d7-d320f0328de2.JEAGCHY2GYGKJ94E.SEARCH&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/xif0q/jean/o/i/p/32-ecskn-01bb-090-spykar-original-imagnbufpcwyyepz.jpeg?q=70,Button,"Coin Pocket, Curved Pocket, Patch Pocket",Cotton Blend,Western Wear,,Dark Blue,"[['30', '32', '34', '36', '38']]",1368,Spykar,4
Men Slim Fit Green Viscose Rayon Trousers,https://www.flipkart.com/highlander-slim-fit-men-green-trousers/p/itm63007763148bc?pid=TROG5H97JC7G8TWT&lid=LSTTROG5H97JC7G8TWTS5P9LD&marketplace=FLIPKART&store=clo%2Fvua&srno=b_2_58&otracker=browse&fm=organic&iid=en_Q_iXGrQGs3d0oiuIxP0EPlC9toq6ThE4P5W9kRScnVhPqylfoxAcXkqixchsH-HoB-sk6R4JIFLfvWbsLatvFA%3D%3D&ppt=None&ppn=None&ssid=crryb3vg400000001691554934852,https://rukminim2.flixcart.com/image/832/832/krwec280/trouser/r/a/8/30-hltr004539-highlander-original-imag5h97zuqracmf.jpeg?q=70,Button,,Viscose Rayon,Western Wear,,Green,"[['30', '32', '34', '36']]",634,HIGHLANDER,5
Men Skinny Low Rise White Jeans,https://www.flipkart.com/spykar-skinny-men-white-jeans/p/itm34323e931d5a0?pid=JEAGPZCMF3C86NY3&lid=LSTJEAGPZCMF3C86NY3OAGTDJ&marketplace=FLIPKART&store=clo%2Fvua&srno=b_2_56&otracker=browse&fm=organic&iid=13bbde0e-4984-4602-ab35-1773a7e61b0c.JEAGPZCMF3C86NY3.SEARCH&ppt=None&ppn=None&ssid=crryb3vg400000001691554934852,https://rukminim2.flixcart.com/image/832/832/xif0q/jean/6/x/d/32-emdskn2bc071-spykar-original-imagqbvehvdxxgps.jpeg?q=70,,,Cotton Blend,Western Wear,,White,"[['30', '32', '34', '36', '38']]",1319,Spykar,6
Men Slim Mid Rise Black Jeans,https://www.flipkart.com/urbano-fashion-slim-men-black-jeans/p/itmfdzf3epuazfcy?pid=JEAFDYRH3YZKYUX8&lid=LSTJEAFDYRH3YZKYUX8V5JDAG&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_22&otracker=browse&fm=organic&iid=en__eM9nYk2U7eVz18g7sxGkNcAGxDrj2amYgGi4BATl1Qmh0c5usIi4i7Q32RZLbXzx5fAvy2lbj92vnZCCs1IVg%3D%3D&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/xif0q/jean/q/s/c/32-eps-black-06-urbano-fashion-original-imagqrgfhgs6fhfz.jpeg?q=70,Button,,Cotton Lycra Blend,Western Wear,,Black,"[['28', '30', '32', '34', '36', '38', '40']]",587,Urbano Fashion,7
Men Tapered Light Green Cotton Blend Trousers,https://www.flipkart.com/van-heusen-sport-tapered-men-light-green-trousers/p/itm3650f62c178e0?pid=TROGF5GSEQJRPAY7&lid=LSTTROGF5GSEQJRPAY781VWS4&marketplace=FLIPKART&store=clo%2Fvua&srno=b_2_42&otracker=browse&fm=organic&iid=en_Q_iXGrQGs3d0oiuIxP0EPlC9toq6ThE4P5W9kRScnViO42ICgfY7lC0pIp5-57L7CTpwN3LpKfIHCwrWCX9kaw%3D%3D&ppt=None&ppn=None&ssid=crryb3vg400000001691554934852,https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/e/v/s/-original-imaghm9bukymd8rr.jpeg?q=70,Button,,Cotton Blend,Western Wear,,Light Green,[['32']],1399,VAN HEUSEN SPORT,8
Men Slim Mid Rise Blue Jeans,https://www.flipkart.com/louis-philippe-jeans-slim-men-blue/p/itme4ab754f49fd5?pid=JEAGF828FEPAG72X&lid=LSTJEAGF828FEPAG72XRRATDL&marketplace=FLIPKART&store=clo%2Fvua&srno=b_2_51&otracker=browse&fm=organic&iid=en_Q_iXGrQGs3d0oiuIxP0EPlC9toq6ThE4P5W9kRScnVj0sZ8a-KfbbyPlivXI7kMjCvU0fUl65bLI58VatdwBmw%3D%3D&ppt=None&ppn=None&ssid=crryb3vg400000001691554934852,https://rukminim2.flixcart.com/image/832/832/xif0q/jean/b/j/g/32-lrdncslpa29012-louis-philippe-jeans-original-imaggg9ucuzh8tmd.jpeg?q=70,,,Cotton Blend,Western Wear,,Blue,"[['30', '32', '34', '36', '38', '40']]",1499,Louis Philippe Jeans,9
Men Slim Fit Green Viscose Rayon Trousers,https://www.flipkart.com/highlander-slim-fit-men-green-trousers/p/itm63007763148bc?pid=TROG5H97JC7G8TWT&lid=LSTTROG5H97JC7G8TWTS5P9LD&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_37&otracker=browse&fm=organic&iid=en__eM9nYk2U7eVz18g7sxGkNcAGxDrj2amYgGi4BATl1T3qMhg6U6Syp7cNMKLmEl3ecB8iHGBKQVCz2B3okOkIw%3D%3D&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/krwec280/trouser/r/a/8/30-hltr004539-highlander-original-imag5h97zuqracmf.jpeg?q=70,Button,,Viscose Rayon,Western Wear,,Green,"[['30', '32', '34', '36']]",634,HIGHLANDER,10
