Name,Link,Image_Link,Fit,Fabric,Suitable_For,Sleeve,Color,Occasion,Type,Measurements,Price,Brand,Cloth_Type,id
Men Linen Blend Top and Pant,https://www.flipkart.com/sp-fashions-men-top-pant/p/itm191c7c6a81bd2?pid=ETHGPQHNYHHVRQGE&lid=LSTETHGPQHNYHHVRQGE8R9NQE&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_1&otracker=browse&fm=organic&iid=en_r8PCl3WFI7H--ULGqYy4ZcFufu1MShICFRHYoxQmA5kOa4Oul1XuOhIbGbpczVTDwuZdomgzNwW6mxNfiogYsQ%3D%3D&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/j/g/i/xl-shirt-pent-pair-blackship-original-imagpg2uyet7yxwz.jpeg?q=70,,Linen Blend,,,,Ethnic,Top and Pant,"[['S', 'M', 'L', 'XL']]",692,SP FASHIONS ,Ethnic Sets,1
Men Linen Blend Top and Pant,https://www.flipkart.com/sp-fashions-men-top-pant/p/itmaf6e2949013c7?pid=ETHGPQHNJXY3WY5F&lid=LSTETHGPQHNJXY3WY5FLV5A7H&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_2&otracker=browse&fm=organic&iid=en_r8PCl3WFI7H--ULGqYy4ZcFufu1MShICFRHYoxQmA5kN1IlH4cjsNjb__GuHcvym-g67xtnQkOa2D22nsdN7Kw%3D%3D&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/l/9/p/xl-shirt-pent-pair-blackship-original-imagpg2ucwp24gce.jpeg?q=70,,Linen Blend,,,,Ethnic,Top and Pant,"[['S', 'M', 'L', 'XL']]",692,SP FASHIONS ,Ethnic Sets,2
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itm15813a15396de?pid=ETHGNPB77BVMGRWH&lid=LSTETHGNPB77BVMGRWHHHHUIL&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_3&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGNPB77BVMGRWH.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/b/r/o/xxl-blue-kurta-s-kaashi-couture-original-imagn8rdz92ncat8.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",279,VINAARI ,Ethnic Sets,3
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itm1ffce00c7a546?pid=ETHGNPB7YHFZFTFP&lid=LSTETHGNPB7YHFZFTFP03AD7F&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_4&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGNPB7YHFZFTFP.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/e/u/h/l-blue-kurta-s-kaashi-couture-original-imagn8rghz8eu5zs.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",274,VINAARI ,Ethnic Sets,4
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itm94af28e330a2a?pid=ETHGNPB7H764HMPF&lid=LSTETHGNPB7H764HMPF6EMMDT&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_5&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGNPB7H764HMPF.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/h/h/d/xxl-blue-kurta-s-kaashi-couture-original-imagn8rfh4r3zspu.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",274,VINAARI ,Ethnic Sets,5
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itmbca21c1ea0e82?pid=ETHGNPB79V3YGHNS&lid=LSTETHGNPB79V3YGHNSXCVRQA&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_6&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGNPB79V3YGHNS.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/v/8/q/m-blue-kurta-s-kaashi-couture-original-imagn8rda6bhhggz.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",279,VINAARI ,Ethnic Sets,6
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/ethnicsutra-men-kurta-pyjama-set/p/itm2b231d6aa01ea?pid=ETHGRZRZPB6564TQ&lid=LSTETHGRZRZPB6564TQNLJJRD&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_7&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGRZRZPB6564TQ.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/k/u/f/s-black-button-saraswatam-original-imaghh6fyjdatttc.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['XS', 'S', 'M', 'L', 'XL', 'XXL', '3XL']]",499,ETHNICSUTRA ,Ethnic Sets,7
Men Linen Blend Top and Pant,https://www.flipkart.com/sp-fashions-men-top-pant/p/itmfa9e721958ae8?pid=ETHGPQHNMCPGZGAZ&lid=LSTETHGPQHNMCPGZGAZS4029A&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_8&otracker=browse&fm=organic&iid=en_r8PCl3WFI7H--ULGqYy4ZcFufu1MShICFRHYoxQmA5m0BSK-GhMYAjL6BOovSjCc-WQW7ni4oclUgmWvCFs7LQ%3D%3D&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/c/c/e/l-shirt-pent-pair-blackship-original-imagpg2ug2wkrjgk.jpeg?q=70,,Linen Blend,,,,Ethnic,Top and Pant,"[['S', 'M', 'L', 'XL']]",692,SP FASHIONS ,Ethnic Sets,8
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/cellux-men-kurta-pyjama-set/p/itmb84b5a50ce96b?pid=ETHGEBR6Z6RHW7WV&lid=LSTETHGEBR6Z6RHW7WVY3PCTR&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_9&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGEBR6Z6RHW7WV.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/n/n/r/m-black-black-cellux-original-imagebr627vaycte-bb.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['XS', 'S', 'M', 'L', 'XL', 'XXL']]",369,CELLUX ,Ethnic Sets,9
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itm2d3d3e8fbcf5d?pid=ETHGNPB7GTGNHBMK&lid=LSTETHGNPB7GTGNHBMKJGUHO9&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_10&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGNPB7GTGNHBMK.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/9/s/d/s-white-vinaari-original-imagnpb7gmjffxhy.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",299,VINAARI ,Ethnic Sets,10
