Name,Link,Image_Link,Inner_Material,Outer_Material,Occasion,Color,Measurements,Price,Brand,id
Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor|Daily Use Running Shoes For Men  (Black),https://www.flipkart.com/aadi-mesh-lightweight-comfort-summer-trendy-walking-outdoor-daily-use-running-shoes-men/p/itm2b3542f509660?pid=SHOFGHBNZT4NV7BB&lid=LSTSHOFGHBNZT4NV7BBGCUZ51&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_8&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BSports%2BShoes_7M0KJVL57137&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=en_uTM-L9CWex9JxsebXE4_xYE7esQIA8_xCnplGo8KKl1oa1OBs-rpZ6_Q7_XhRf559LWw_Ep13KIjmk0VmNDZ6Q%3D%3D&ppt=None&ppn=None&ssid=hd74iubgkw0000001691640168245,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/3/g/8/-original-imaghvbanvdgzy8g.jpeg?q=70,,Mesh,Sports,Black,"[['6', '7', '8', '9', '10']]",299,aadi,1
RESPONSE Running Shoes For Men  (White),https://www.flipkart.com/adidas-response-running-shoes-men/p/itmf9cdb1c6e412c?pid=SHOGZT55MFZYAZS7&lid=LSTSHOGZT55MFZYAZS7J0PKYX&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_38&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BSports%2BShoes_7M0KJVL57137&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=en_uTM-L9CWex9JxsebXE4_xYE7esQIA8_xCnplGo8KKl2BsDUebcCyhekmCJiLIPxQygMg_yVLvlMKpYaJT5uNqQ%3D%3D&ppt=None&ppn=None&ssid=hd74iubgkw0000001691640168245,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/1/o/b/7-if7252-7-adidas-crywht-arcngt-luclem-original-imagr5vh9bgfq2by.jpeg?q=70,,"Synthetic, Textile",Sports,White,"[['6', '7', '8', '9', '10', '11', '12']]",3952,ADIDAS,2
Stunicon M Running Shoes For Men  (Grey),https://www.flipkart.com/adidas-stunicon-m-running-shoes-men/p/itm9c8f00d045e5e?pid=SHOGGW2VHHHV5FQU&lid=LSTSHOGGW2VHHHV5FQUMIKDGA&marketplace=FLIPKART&store=osp%2Fcil%2F1cu&srno=b_1_31&otracker=hp_rich_navigation_2_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BSports%2BShoes_7M0KJVL57137&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=en_uTM-L9CWex9JxsebXE4_xYE7esQIA8_xCnplGo8KKl3rdfGB4xeWQ9u5ISJeuaGtW29Z7DGa0cuanycHP6SIKw%3D%3D&ppt=None&ppn=None&ssid=hd74iubgkw0000001691640168245,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/c/4/i/-original-imagzevgkvwnstjg.jpeg?q=70,,Synthetic,Sports,Grey,"[['6', '7', '8', '9', '10', '11']]",2151,ADIDAS,3
Sneakers For Men  (White),https://www.flipkart.com/magnolia-sneakers-men/p/itmb42a681797f2d?pid=SHOGYAACUZJ842YX&lid=LSTSHOGYAACUZJ842YXXWGT2A&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_21&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=en_OopLRPlo1PiKMOg2ZnbCGV_MSuqyqLTES5qcSKdexUeHUUTqeP0m00sNV1nWnbE9YSEEWDf9h0HWUfAfg6XP4A%3D%3D&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/q/w/p/9-ajwings-magnolia-white-original-imag3thhuz3edrjg-bb.jpeg?q=70,Cloth,Synthetic Leather,Casual,White,"[['6', '7', '8', '9', '10']]",299,Magnolia,4
Embossed Design Ethnic Slip On Juttis and Mojaris For Men  (Tan),https://www.flipkart.com/fausto-embossed-design-ethnic-slip-juttis-mojaris-men/p/itm88180301b02ca?pid=SHOGGFMNYXJZCZJU&lid=LSTSHOGGFMNYXJZCZJU4HJLUH&marketplace=FLIPKART&store=osp%2Fcil%2Fssd&srno=b_1_27&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BEthnic%2BShoes_IRZTLT64M5EN&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=en_vQMDVRPlcl-HEEqC0N4LU7ZBOg3hSHDH4WUia_FtZLMKEEunP63HsaJgKwoB5goY1LvB2rE6qeGjqHJJfkEWXA%3D%3D&ppt=None&ppn=None&ssid=7yj3artna80000001691640486706,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/h/n/9/6-fst-fobme-1007-tan-40-fausto-tan-original-imagkg3t8tk7ybeb.jpeg?q=70,Cushion Footbed,PU,Ethnic,Tan,"[['6', '7', '8', '9', '10', '11', '12']]",582,FAUSTO,5
Sneakers For Men  (White),https://www.flipkart.com/rapidbox-sneakers-men/p/itm3e9655a4a9be5?pid=SHOG6WUHHYVQSDWV&lid=LSTSHOG6WUHHYVQSDWVYMCMFQ&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_17&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=en_OopLRPlo1PiKMOg2ZnbCGV_MSuqyqLTES5qcSKdexUdE5VxdIZCYt_rTLD2iPpK3s1R7-1YZNAzklAftoEHbpg%3D%3D&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/kuof5ow0/shoe/f/i/q/6-rpd103-6-rapidbox-white-original-imag7qu9m7bmhngf.jpeg?q=70,EVA or Rubber,Textile,Casual,White,"[['6', '7', '8', '9', '10', '11']]",549,RapidBox,6
"Punjabi Traditional Latest Men's Ethnic Nagra,Mojaris, Khussa, Jutis For Men  (Black)",https://www.flipkart.com/zappy-punjabi-traditional-latest-men-s-ethnic-nagra-mojaris-khussa-jutis-men/p/itmf3yywkvg8xh9y?pid=SHOEH6WGGNGAM7GC&lid=LSTSHOEH6WGGNGAM7GCYMYOFE&marketplace=FLIPKART&store=osp%2Fcil%2Fssd&srno=b_1_37&otracker=hp_rich_navigation_7_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BEthnic%2BShoes_IRZTLT64M5EN&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L2_view-all&fm=organic&iid=en_vQMDVRPlcl-HEEqC0N4LU7ZBOg3hSHDH4WUia_FtZLOsCfNaG0ZoklZuHn2fypQ4NCh69Ncwzobxgxs6fkNJFw%3D%3D&ppt=None&ppn=None&ssid=7yj3artna80000001691640486706,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/p/a/e/7-ca-274-7-zappy-black-original-imagrf2tun5puwyh.jpeg?q=70,Faux Leather,Nubuck Leather,Ethnic,Black,"[['6', '7', '8', '9', '10']]",549,ZAPPY,7
ARCADE 3.0 Sneakers For Men  (White),https://www.flipkart.com/skechers-arcade-3-0-sneakers-men/p/itm030b52116ed56?pid=SHOGFHXYXZZRQR67&lid=LSTSHOGFHXYXZZRQR677S3BEY&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_1&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=en_OopLRPlo1PiKMOg2ZnbCGV_MSuqyqLTES5qcSKdexUfN88xwNlPJUB1Hq_zYlosgjrspSla-GO7hxonb97HswQ%3D%3D&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/g/o/c/-original-imagqfwbhgp7aqhg.jpeg?q=70,Memory Foam,EVA,Casual,White,"[['6', '7', '8', '9', '10', '11', '12', '13']]",4665,Skechers,8
Modern Trendy Sneakers boot Sneakers Sneakers For Men  (White),https://www.flipkart.com/magnolia-modern-trendy-sneakers-boot-men/p/itm313f93d64982b?pid=SHOGGUTPCYGZZBPS&lid=LSTSHOGGUTPCYGZZBPSUCW4S8&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_6&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOGGUTPCYGZZBPS.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/g/c/o/9-rockey-9-magnolia-white-original-imaggutpbvcczyhf.jpeg?q=70,Cloth,Synthetic,Casual,White,"[['6', '7', '8', '9', '10']]",299,Magnolia,9
"Modern Trendy Sneakers Shoes Sneakers For Men  (Orange, Grey)",https://www.flipkart.com/bruton-modern-trendy-sneakers-shoes-men/p/itm6036f913ec47f?pid=SHOG293HYGTD9KRG&lid=LSTSHOG293HYGTD9KRG5PY3TZ&marketplace=FLIPKART&store=osp%2Fcil%2Fe1f&srno=b_1_5&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Men%2BFootwear~Men%2527s%2BCasual%2BShoes_30OZVDNS8SCQ&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=18f0f7ac-5952-449a-8ea1-5e8bfd53d0ae.SHOG293HYGTD9KRG.SEARCH&ppt=None&ppn=None&ssid=wpqlazg1n40000001691640236536,https://rukminim2.flixcart.com/image/832/832/xif0q/shoe/1/i/u/-original-imaggcb7ndjv7fue.jpeg?q=70,,Mesh,Casual,"Orange, Grey","[['6', '7', '8', '9', '10']]",249,BRUTON,10
